job_aptitude_exam,same_industry,unexcused_absences,hs_gpa,good_behavior,high_school,enrolled_late,instructor,sensitive_01,sensitive_02,sensitive_03,sensitive_04,sensitive_05,sensitive_06,sensitive_07,sensitive_08,sensitive_09,sensitive_10,sensitive_11,sensitive_12,sensitive_13,sensitive_14,sensitive_15,sensitive_17,sensitive_18,sensitive_19,sensitive_20,sensitive_22,sensitive_23,sensitive_24,sensitive_25
118.0,0,3,2.7430000000000003,0.0,220,0,inst_4,0.17,0.23,-1.0,-1.97,0,0,-0.34,0.34,-0.06,,1.89,0.18,0.65,0.78295,0,0,1,-2.19,0,0,-1.73,1,0.19
87.0,0,2,3.686,0.0,348,0,inst_8,-0.25,0.39,-2.24,-0.35,0,1,0.58,1.5,0.89,,0.08,1.27,0.46,0.6955600000000001,0,1,1,1.07,0,0,0.22,1,-0.06
94.0,0,1,3.1180000000000003,0.0,169,0,inst_5,-1.39,-1.2,-0.71,0.02,1,0,0.91,-0.05,-0.43,,-0.71,-1.46,-1.02,-4.18036,0,1,1,-1.49,1,0,-0.78,1,2.46
109.0,0,1,3.012,0.0,113,0,inst_10,1.44,-0.51,0.79,0.45,1,0,-0.73,1.05,1.49,1.0,-0.04,-0.45,0.04,-0.8795200000000001,0,1,1,-1.46,1,1,0.33,0,0.81
120.0,0,1,3.347,0.0,219,0,inst_5,-0.7,-0.04,-0.92,0.15,0,1,-0.2,0.72,-0.27,,-0.21,0.6,-0.27,-1.90369,0,1,0,1.1,1,1,-1.35,0,-1.26
111.0,0,1,3.663,1.0,343,0,inst_4,1.07,0.42,0.94,-1.04,1,1,-0.32,-0.92,1.16,1.0,1.08,-1.25,1.42,4.201459999999999,0,1,1,0.57,0,0,-1.58,1,1.27
101.0,0,0,3.957,0.0,350,0,inst_4,-0.58,1.18,-0.47,0.01,0,0,-1.03,-0.79,-3.48,,0.96,0.17,-0.14,-1.55398,1,1,1,-0.36,0,1,0.09,1,1.16
89.0,0,2,3.5810000000000004,1.0,137,1,inst_3,0.09,-0.7,0.39,0.28,1,1,0.82,0.81,-1.15,,0.83,-2.59,2.56,8.16736,1,0,0,-1.26,0,0,3.28,0,-1.88
74.0,0,3,3.187,,149,0,inst_3,1.56,0.8,-0.4,0.23,0,0,-0.48,0.44,-0.72,1.0,-0.86,-0.77,-2.67,-9.50929,1,1,0,0.1,1,0,-0.1,1,-0.82
82.0,0,1,3.535,1.0,37,0,inst_3,0.45,-1.35,-0.71,0.63,0,1,0.75,0.87,-1.83,,0.09,0.06,-0.9,-4.1815,1,1,1,1.09,0,1,-1.29,1,0.61
98.0,0,1,3.507,0.0,244,0,inst_4,-0.49,0.56,-0.23,1.42,0,0,-2.13,1.11,0.21,,0.2,0.65,1.28,3.4889600000000005,0,1,1,1.4,0,0,2.09,0,-0.66
92.0,0,1,3.028,0.0,65,0,inst_5,-0.18,-0.58,-1.45,0.86,1,1,-1.75,-1.32,-0.86,0.0,1.87,-0.52,-0.01,-1.03028,0,1,1,-0.44,0,1,-0.4,0,2.19
90.0,0,1,3.3710000000000004,0.0,259,0,inst_3,1.14,0.38,-0.53,-1.19,1,0,1.41,-0.23,-0.4,1.0,1.28,1.2,-1.32,-5.44972,0,0,1,0.11,0,0,-0.34,0,-1.1
103.0,0,0,3.479,0.0,64,0,inst_6,-1.59,0.35,1.54,-1.16,1,0,-1.46,-0.23,-1.61,,-0.96,1.69,2.69,8.35851,0,1,1,0.13,0,1,-1.16,1,-0.48
92.0,0,2,3.2910000000000004,0.0,127,0,inst_5,0.28,0.87,-0.29,-1.97,0,1,1.01,-0.09,1.05,,-0.38,-1.49,0.11,-0.6379900000000001,1,0,0,0.02,1,1,0.61,0,0.03
122.0,0,0,3.615,0.0,28,0,inst_5,0.71,1.16,1.27,-0.68,0,1,0.54,2.12,-1.44,,0.18,-1.24,-0.23,-1.83145,1,0,0,-0.17,0,0,-0.52,1,-1.49
94.0,0,1,3.145,0.0,230,0,inst_2,-0.4,-0.57,0.63,1.12,1,1,1.56,0.28,0.08,,0.89,0.34,-1.26,-4.9627,0,1,1,1.91,1,1,0.98,1,-0.43
130.0,0,0,2.899,0.0,296,0,inst_8,0.19,1.4,0.77,-0.04,1,1,-1.38,-1.52,-0.55,1.0,1.15,-0.4,-0.6,-2.7394,1,1,1,0.59,0,1,0.31,0,-0.15
103.0,0,1,,0.0,107,0,inst_4,-0.04,-1.59,0.59,-0.08,1,1,1.67,-0.61,-0.22,,-0.59,1.55,-0.66,-3.1654600000000004,0,0,1,0.33,1,1,-1.47,1,1.5
113.0,0,0,3.187,0.0,122,0,inst_8,0.31,-2.13,0.59,-0.83,1,1,-1.3,0.22,0.1,,0.02,1.32,-0.39,-2.24293,0,0,0,0.41,0,1,0.07,0,-1.67
106.0,1,3,2.86,0.0,200,0,inst_7,-0.18,0.3,-0.57,-0.56,0,1,0.41,-0.09,1.04,,1.03,-0.55,-1.77,-6.0622,1,0,0,0.51,0,0,-0.46,0,-0.37
79.0,0,3,1.809,0.0,75,0,inst_4,1.54,0.94,-0.31,0.47,1,0,-1.24,0.14,0.29,,-0.12,-0.2,1.77,2.20193,0,0,1,0.36,1,1,0.72,1,-1.17
95.0,0,2,3.411,1.0,222,0,inst_4,-0.93,1.17,0.15,0.2,0,0,0.04,-0.34,0.03,,-0.2,-0.24,-0.75,-3.55825,1,0,1,-0.35,0,0,-0.78,1,0.51
107.0,0,0,3.5860000000000003,0.0,101,0,inst_5,1.91,-0.43,0.75,-0.78,0,1,0.97,0.43,-0.85,,-0.98,0.39,0.01,-0.96414,1,0,0,0.0,1,1,-0.56,1,-1.3
95.0,0,3,2.165,0.0,279,0,inst_3,0.34,-0.23,-0.91,0.55,0,0,-0.6,0.96,-0.04,1.0,0.44,-0.42,-1.78,-4.8537,0,0,0,0.61,0,1,-0.08,0,0.51
80.0,0,1,3.677,,379,0,inst_2,0.08,-1.41,1.1,-1.5,1,1,-2.14,-0.54,-1.66,0.0,-0.2,-0.33,-0.07,-1.25739,1,1,1,-0.72,1,0,-1.19,0,-0.66
83.0,0,1,2.377,,10,0,inst_4,1.51,-1.86,-0.37,-0.28,0,0,-0.08,-1.4,0.54,,-1.83,0.83,0.35,-0.16805000000000014,1,0,1,0.98,0,0,0.42,0,-0.99
116.0,0,3,3.137,1.0,356,0,inst_4,0.11,0.09,1.39,1.47,0,1,-0.96,1.77,0.78,,0.44,-0.8,-1.17,-4.6702900000000005,1,1,1,-0.79,0,0,1.03,1,-0.43
97.0,0,2,2.148,1.0,323,0,inst_6,0.07,-0.83,0.6,0.02,0,1,0.06,-0.99,0.11,,1.54,0.1,-0.19,-1.40812,1,1,1,-0.31,0,1,0.21,0,-0.81
94.0,0,3,2.463,1.0,13,0,inst_3,-0.68,1.73,2.2,1.65,1,0,0.98,0.64,-0.79,,0.94,-0.08,-0.12,-1.29556,1,1,1,-0.23,0,1,0.93,1,-1.5
100.0,0,0,3.141,0.0,154,0,inst_7,-0.21,-0.07,1.16,-1.81,0,0,-0.87,-0.49,-0.41,,-0.45,-0.81,-0.55,-2.72755,0,0,0,0.99,1,1,0.71,1,-4.2
80.0,0,3,2.4090000000000003,1.0,164,0,inst_2,-0.59,2.26,1.41,-0.03,0,1,0.93,-0.83,-1.16,1.0,1.25,-0.7,0.38,-0.0845800000000001,1,0,0,1.31,0,1,-0.9,0,-1.45
96.0,0,1,3.097,0.0,417,0,inst_2,0.22,0.43,0.34,0.08,0,1,-1.41,0.99,0.18,,-0.08,0.35,-0.27,-1.8361900000000002,0,1,0,0.95,1,0,1.22,0,-0.52
89.0,0,1,2.99,0.0,391,0,inst_2,1.11,-0.05,0.5,-0.92,0,1,-1.24,-0.0,0.25,1.0,1.68,0.72,-0.03,-1.0897,1,1,0,1.04,0,0,0.32,0,0.02
112.0,0,1,3.167,0.0,348,0,inst_4,1.28,0.65,-1.91,0.98,1,1,0.62,-0.54,0.32,,-0.4,0.14,-0.04,-1.12668,0,1,0,-0.54,0,0,-0.46,1,-0.28
87.0,0,0,3.772,,92,0,inst_1,0.89,1.67,-2.03,0.85,0,1,-0.66,1.75,0.49,1.0,0.89,-0.64,0.19,-0.28332,0,0,1,-1.04,1,1,2.54,1,0.15
93.0,0,1,3.377,,312,0,inst_4,0.84,-2.23,-0.8,0.33,0,0,1.24,-0.05,0.48,,-0.39,0.61,-1.01,-4.410769999999999,1,1,1,-1.09,1,1,-0.11,1,1.43
99.0,0,1,3.408,0.0,300,0,inst_5,-1.91,-0.55,0.61,-0.33,1,0,-0.29,0.28,-0.57,,-0.68,-1.68,-0.59,-3.01072,0,0,0,1.23,1,1,0.41,0,-0.17
103.0,0,0,3.631,0.0,13,0,inst_12,0.67,-1.12,0.96,-1.83,1,1,1.63,-1.23,-0.31,1.0,0.95,0.84,-0.45,-2.63395,1,0,0,-1.25,1,0,1.63,0,-0.9
75.0,0,3,1.134,1.0,319,0,inst_6,0.44,-1.68,-1.0,0.74,1,1,-1.0,-0.45,1.74,1.0,-0.24,0.27,1.32,0.49688,1,0,0,-0.51,0,1,-0.57,0,0.13
84.0,0,0,3.457,1.0,87,0,inst_6,1.69,-1.01,1.18,-0.12,1,1,-0.32,0.62,-0.1,,-0.07,0.27,-0.83,-3.86931,0,1,1,0.47,0,0,1.49,0,2.3
99.0,0,1,1.204,0.0,135,0,inst_3,-0.16,2.03,0.22,0.01,1,0,-1.84,-0.91,-0.36,,-0.28,-0.38,1.66,0.9986399999999998,0,1,1,0.32,1,1,-0.09,1,-0.27
94.0,0,1,3.2710000000000004,1.0,95,0,inst_2,0.08,1.07,0.46,0.48,1,1,0.54,0.95,0.47,0.0,0.23,-0.24,-1.93,-7.313029999999999,1,0,0,-1.23,0,0,-1.04,1,0.55
100.0,0,3,2.8960000000000004,0.0,337,0,inst_7,-0.37,-0.4,0.46,-0.92,0,0,0.81,-1.14,-1.87,0.0,1.72,0.8,0.7,1.0271999999999997,0,0,0,0.37,0,0,-1.29,0,-0.26
90.0,0,3,2.815,,270,0,inst_8,0.95,-0.18,1.58,-2.03,0,0,1.07,-1.97,1.07,1.0,-3.67,1.52,-1.32,-4.7158,1,0,1,-1.04,0,0,-2.95,0,-0.52
100.0,0,6,2.278,,355,0,inst_5,0.66,0.69,0.18,1.01,0,1,0.96,0.0,-2.04,,-0.49,-0.34,1.3,1.9614000000000005,0,0,1,0.12,0,0,-1.1,1,-0.19
96.0,0,0,3.083,1.0,114,0,inst_9,-0.5,1.2,-3.02,0.6,1,0,-0.99,0.64,0.59,0.0,0.95,-0.01,1.24,2.8229200000000003,0,0,0,1.04,0,0,0.93,1,-0.13
76.0,0,1,3.694,0.0,43,0,inst_7,-0.7,1.32,-0.58,-1.64,1,0,0.46,-2.29,0.22,,1.09,0.17,-0.19,-1.70186,1,0,0,2.73,1,1,0.66,0,-0.37
76.0,0,1,3.694,0.0,43,0,inst_7,-0.7,1.32,-0.58,-1.64,1,0,0.46,-2.29,0.22,,1.09,0.17,-0.19,-1.70186,1,0,0,2.73,1,1,0.66,0,-0.37
97.0,0,1,3.735,1.0,348,0,inst_3,0.46,0.01,0.3,-0.61,1,0,0.02,-1.44,0.3,,-0.24,1.0,0.77,1.87595,0,0,0,-0.57,0,1,-0.4,1,-1.32
105.0,0,1,2.592,0.0,366,0,inst_4,1.73,-1.61,0.8,-0.08,1,0,-0.92,0.4,1.28,,0.2,1.46,0.58,0.50336,1,1,1,-1.44,1,1,-0.9,0,0.1
76.0,0,1,3.694,0.0,43,0,inst_7,-0.7,1.32,-0.58,-1.64,1,0,0.46,-2.29,0.22,,1.09,0.17,-0.19,-1.70186,1,0,0,2.73,1,1,0.66,0,-0.37
97.0,1,1,3.232,0.0,309,0,inst_5,-0.5,-0.01,-0.5,-0.03,0,0,0.2,-0.42,0.48,0.0,-1.13,0.59,0.28,-0.0950399999999999,1,1,0,-0.7,1,1,0.57,1,-1.68
89.0,0,0,3.452,1.0,281,0,,0.61,-1.59,1.84,0.86,1,0,-0.29,-0.63,0.57,,-1.28,0.2,1.81,5.24812,0,0,0,0.01,0,0,0.52,0,-0.01
81.0,0,1,2.994,0.0,128,0,inst_3,1.02,0.57,0.75,-0.22,0,0,-0.85,-0.35,0.11,,-1.44,0.98,2.53,6.57482,1,1,0,-0.14,0,0,0.14,0,0.76
102.0,0,0,3.593,,306,0,inst_6,1.15,1.27,-0.35,-0.48,1,1,1.1,0.36,-0.44,0.0,-0.28,-0.55,0.08,-0.7125600000000001,1,1,1,1.2,0,1,-0.46,0,-2.49
99.0,0,3,2.418,0.0,247,0,inst_2,2.15,-0.02,-1.27,-1.8,0,1,-0.82,0.18,-0.2,0.0,0.12,1.34,1.49,2.6028200000000004,1,1,0,0.93,0,0,-1.06,0,1.04
103.0,0,2,3.22,0.0,183,0,inst_5,1.61,-1.2,0.78,1.38,1,0,-1.07,-0.19,0.33,1.0,0.96,0.18,0.04,-0.8712,0,0,1,-2.24,0,1,-0.69,0,1.42
93.0,0,3,2.814,0.0,91,0,,1.05,1.09,-0.17,-0.89,1,1,0.74,0.17,-1.03,,-1.39,-0.32,-1.32,-4.71448,1,1,1,-1.04,1,0,-0.23,1,-0.51
118.0,0,0,3.613,0.0,387,0,inst_1,-0.54,0.3,0.64,-0.17,0,0,0.43,0.79,-0.5,0.0,-0.73,-0.57,-1.25,-5.51625,0,0,0,-0.12,0,1,0.56,1,-0.06
79.0,0,1,3.59,0.0,126,0,inst_2,0.62,0.0,0.91,-1.25,1,1,-1.06,0.26,-0.15,,1.93,2.19,0.39,0.4000999999999999,1,0,0,-0.29,0,1,0.67,1,0.65
101.0,0,1,3.575,0.0,305,0,inst_5,-1.7,-1.2,1.66,-0.43,0,1,-1.14,-0.88,1.08,,-0.29,0.72,0.94,2.3605,0,0,0,0.7,0,1,-0.74,1,1.1
104.0,0,1,2.377,1.0,126,0,inst_4,-1.0,0.61,0.89,-0.38,0,0,1.04,-0.05,0.01,,0.28,-0.58,-0.23,-1.54671,0,0,1,0.23,0,1,-0.62,0,0.16
88.0,0,0,2.628,0.0,390,0,inst_7,0.1,0.74,0.75,1.35,1,0,-2.08,0.37,-0.3,,0.76,0.45,-0.66,-2.7344800000000005,1,1,0,1.95,0,1,1.35,0,0.26
84.0,0,1,2.875,0.0,262,0,inst_4,-0.41,-0.01,-0.5,0.04,0,0,0.75,-0.02,1.03,,-0.91,0.59,-1.24,-4.565,1,1,1,-0.78,0,1,1.78,1,0.42
80.0,0,2,3.277,0.0,134,0,inst_2,-0.37,-1.0,1.12,-0.06,1,0,-0.29,-0.56,-1.17,1.0,0.44,-1.22,-0.69,-3.26113,0,1,1,0.27,1,0,-0.78,1,-1.17
104.0,0,4,2.547,,150,0,inst_3,-1.52,0.37,0.08,1.04,1,1,1.91,-1.75,-1.48,,-1.0,0.14,-1.14,-3.90358,1,0,0,0.01,1,1,0.43,0,1.12
80.0,0,5,3.543,1.0,209,0,,-0.25,-0.81,1.63,-1.41,1,0,0.79,0.25,-0.34,,1.07,0.02,1.94,5.8734199999999985,0,0,0,2.26,0,0,-0.26,0,1.19
93.0,0,2,3.031,0.0,68,0,inst_8,-0.49,2.19,-0.12,0.36,0,1,-1.74,-0.77,-0.33,,-1.29,1.23,-0.8,-3.4248000000000003,1,0,0,1.56,1,1,1.23,0,-0.81
123.0,0,1,3.344,1.0,438,0,inst_4,0.18,0.34,-0.68,2.08,0,0,-0.08,-0.15,0.04,,-0.86,-1.44,-0.91,-4.04304,0,1,0,0.67,0,0,1.05,0,-0.01
85.0,0,1,2.761,0.0,196,0,inst_6,-0.08,1.11,-1.17,0.14,0,1,0.33,0.83,0.03,1.0,-1.07,1.03,-0.02,-1.05522,1,1,1,0.35,0,1,-0.75,0,0.09
102.0,0,1,3.537,0.0,372,0,inst_10,1.29,-0.46,-1.3,-1.42,0,0,-0.4,0.6,0.16,1.0,-0.31,-0.41,1.31,3.63347,0,1,0,-0.96,1,1,-0.18,1,1.43
110.0,0,1,3.833,0.0,83,0,inst_9,-1.43,-1.8,0.72,-1.58,0,1,0.68,1.11,-0.71,,1.34,0.1,0.39,0.4948700000000002,0,1,1,0.3,1,1,-0.74,1,1.06
73.0,0,2,3.124,1.0,178,0,inst_4,1.2,0.86,-0.82,0.28,0,1,0.79,0.27,0.22,,1.32,0.61,-0.02,-1.06248,1,0,0,1.13,1,1,0.28,0,0.59
107.0,0,2,3.482,1.0,223,0,inst_5,-0.23,0.53,2.14,-1.5,0,0,-1.19,1.63,-0.11,,-0.25,0.7,-0.62,-3.15884,1,1,0,0.34,1,1,0.86,1,0.44
99.0,0,0,3.044,1.0,100,0,inst_6,1.48,-0.03,0.01,1.33,1,0,1.76,-0.86,0.09,,-0.15,-0.44,-0.71,-3.1612400000000003,0,1,0,1.07,0,0,-0.17,1,0.18
89.0,0,0,2.7060000000000004,0.0,81,0,inst_4,-0.03,-0.57,1.37,-0.09,0,1,0.29,2.37,0.34,0.0,-0.05,0.8,1.06,1.86836,1,1,0,-0.5,0,0,-0.31,1,0.46
108.0,0,2,3.1010000000000004,1.0,17,0,inst_4,1.08,1.14,-0.97,1.58,1,1,1.12,-0.11,0.18,,0.02,-1.85,-0.56,-2.73656,0,1,1,0.22,1,1,-0.16,1,1.05
85.0,0,1,2.982,0.0,251,0,inst_9,-1.82,-0.25,-0.18,-0.59,0,1,1.72,-1.0,-0.41,,-1.49,1.11,1.34,2.9958800000000005,0,1,0,-1.37,0,0,0.1,0,-0.51
69.0,0,0,3.185,1.0,43,0,inst_6,0.85,-1.01,-0.26,0.97,0,1,2.34,-0.08,-0.8,,-0.06,-0.31,-0.56,-2.7836000000000003,0,1,0,0.23,0,0,-0.51,0,1.25
100.0,0,3,2.8960000000000004,0.0,337,0,inst_7,-0.37,-0.4,0.46,-0.92,0,0,0.81,-1.14,-1.87,0.0,1.72,0.8,0.7,1.0271999999999997,0,0,0,0.37,0,0,-1.29,0,-0.26
89.0,0,0,2.7060000000000004,0.0,81,0,inst_4,-0.03,-0.57,1.37,-0.09,0,1,0.29,2.37,0.34,0.0,-0.05,0.8,1.06,1.86836,1,1,0,-0.5,0,0,-0.31,1,0.46
95.0,0,2,3.301,1.0,31,0,inst_6,-0.61,0.23,0.14,-0.02,0,0,2.38,-1.73,0.54,1.0,0.87,-0.79,2.66,7.780660000000001,0,0,0,-0.09,0,1,1.89,1,-0.48
116.0,0,3,3.137,1.0,356,0,inst_4,0.11,0.09,1.39,1.47,0,1,-0.96,1.77,0.78,,0.44,-0.8,-1.17,-4.6702900000000005,1,1,1,-0.79,0,0,1.03,1,-0.43
113.0,0,1,3.432,1.0,212,0,inst_8,0.88,0.16,-1.41,-1.59,1,1,1.03,1.46,-0.83,,0.44,0.12,-1.11,-4.809520000000001,1,1,1,0.09,0,1,-1.04,1,1.39
97.0,0,2,3.631,0.0,96,0,inst_4,0.3,0.84,-1.25,-0.15,1,1,0.91,0.73,-0.76,,0.05,-1.3,0.33,0.1982299999999999,1,0,1,0.63,1,1,1.73,1,0.52
95.0,0,4,1.196,0.0,268,0,inst_7,-1.88,-1.08,0.15,-1.95,1,0,-0.44,-1.6,2.13,,-1.59,-2.27,0.66,-0.21064000000000005,0,1,0,0.9,1,1,0.26,1,0.89
95.0,0,4,2.61,1.0,25,0,inst_4,0.92,-0.35,-1.2,1.01,1,1,0.17,0.85,1.54,0.0,-0.95,0.51,0.51,0.33109999999999995,0,0,1,0.52,1,1,0.85,0,1.4
106.0,0,0,3.145,0.0,434,0,inst_1,2.03,-1.93,1.39,2.75,1,0,0.66,0.03,0.36,0.0,0.6,0.76,0.59,0.8555499999999998,0,0,1,0.16,1,0,0.4,0,-2.39
79.0,0,1,3.59,0.0,126,0,inst_2,0.62,0.0,0.91,-1.25,1,1,-1.06,0.26,-0.15,,1.93,2.19,0.39,0.4000999999999999,1,0,0,-0.29,0,1,0.67,1,0.65
89.0,0,1,2.99,0.0,391,0,inst_2,1.11,-0.05,0.5,-0.92,0,1,-1.24,-0.0,0.25,1.0,1.68,0.72,-0.03,-1.0897,1,1,0,1.04,0,0,0.32,0,0.02
115.0,0,2,3.5660000000000003,1.0,302,0,inst_9,-1.35,0.23,-1.83,-0.89,1,1,0.66,0.11,0.23,,1.65,-0.24,0.33,0.17677999999999994,1,1,0,0.65,1,1,0.34,0,-1.59
81.0,0,0,2.504,0.0,186,0,inst_3,-0.54,-0.18,1.83,-1.72,1,0,0.41,-0.38,0.3,0.0,-0.46,0.52,0.31,-0.22376,0,1,0,0.65,1,0,1.18,1,-1.16
76.0,0,1,3.508,1.0,38,0,inst_4,0.79,1.8,-0.84,-0.0,1,1,-0.81,-0.73,-1.73,1.0,0.04,-0.52,-2.42,-9.48936,1,0,1,0.87,1,0,-0.24,1,0.54
79.0,0,2,3.514,0.0,113,0,inst_6,0.49,1.05,0.53,-1.53,1,1,-0.53,1.09,-0.08,,-0.79,-0.79,0.21,-0.2620600000000001,0,1,0,-0.3,0,1,-1.16,0,1.01
96.0,0,1,3.273,1.0,330,0,inst_12,1.1,0.5,1.52,-0.15,0,0,-1.44,-0.16,0.4,,-1.53,-0.2,-0.49,-2.60377,0,1,1,0.67,1,0,-1.66,1,0.86
91.0,0,4,3.1460000000000004,1.0,7,0,inst_7,0.15,-0.7,-0.83,-0.36,1,1,-0.56,0.69,0.36,,-0.79,1.28,-0.04,-1.12584,1,1,1,-0.58,1,0,0.96,0,-1.27
92.0,0,1,3.671,0.0,210,0,inst_7,0.09,0.96,-0.78,0.68,1,0,0.9,-2.1,-0.82,,-0.22,-1.68,0.38,0.3949799999999999,0,1,0,-2.03,1,0,-1.58,1,1.7
119.0,0,1,3.692,0.0,335,0,inst_4,0.31,0.61,0.58,1.38,0,1,-0.45,0.73,0.42,0.0,-2.75,-0.85,0.79,1.9166800000000004,1,0,0,0.2,0,0,-0.24,1,0.13
98.0,0,0,3.222,0.0,268,0,inst_8,-0.83,1.06,-1.2,-0.69,0,0,-0.19,-1.29,-0.93,,0.73,-0.17,1.6,4.155200000000002,1,1,1,-0.35,0,1,1.15,0,0.73
90.0,0,1,3.214,0.0,49,0,inst_3,-0.05,0.47,-0.38,-1.26,0,1,-0.25,-0.97,-0.58,1.0,-1.03,-0.38,0.02,-0.93572,1,0,1,0.69,1,1,-0.81,0,2.19
99.0,0,1,3.408,0.0,300,0,inst_5,-1.91,-0.55,0.61,-0.33,1,0,-0.29,0.28,-0.57,,-0.68,-1.68,-0.59,-3.01072,0,0,0,1.23,1,1,0.41,0,-0.17
105.0,0,0,2.92,0.0,414,0,inst_0,0.97,-0.74,0.64,0.16,1,1,1.16,-1.08,-1.47,,-1.16,-0.07,-0.47,-2.3724,1,0,1,0.67,1,0,-0.62,0,-0.45
93.0,0,3,2.935,1.0,165,0,,0.73,1.0,-2.07,1.69,0,0,1.42,-0.03,-0.26,0.0,-0.83,0.77,-0.21,-1.61635,0,1,1,-0.41,0,1,-0.05,1,0.29
98.0,0,2,3.687,0.0,290,0,inst_6,-1.19,0.8,0.8,-1.76,1,0,1.89,0.83,-1.44,,0.05,-0.7,-1.65,-7.08355,1,0,1,-0.12,1,0,1.97,1,-0.14
118.0,0,1,3.731,0.0,70,0,inst_4,-0.26,-2.32,-0.11,-0.11,1,1,1.71,0.46,-0.4,,-0.33,-0.63,-0.97,-4.61907,1,1,1,0.59,0,1,-1.4,1,-0.82
92.0,0,1,3.671,0.0,210,0,inst_7,0.09,0.96,-0.78,0.68,1,0,0.9,-2.1,-0.82,,-0.22,-1.68,0.38,0.3949799999999999,0,1,0,-2.03,1,0,-1.58,1,1.7
103.0,0,0,3.605,0.0,393,1,inst_2,-1.66,0.4,1.02,-0.02,0,0,-1.14,-1.1,-1.67,1.0,-0.96,-0.47,0.54,0.9467,0,1,0,0.04,1,1,2.6,0,-0.2
105.0,0,1,2.792,0.0,160,0,inst_6,0.48,-1.87,-0.16,-0.33,1,0,1.11,0.78,-1.26,,1.16,-0.19,-1.04,-3.903680000000001,0,0,0,0.36,1,1,-0.49,0,0.28
104.0,0,2,2.099,1.0,24,0,inst_1,0.43,0.92,-0.61,1.05,0,1,-0.0,0.29,-0.47,1.0,0.13,-1.12,-0.21,-1.44079,0,1,1,-0.61,1,1,0.16,1,1.48
78.0,1,2,2.948,0.0,423,0,inst_5,1.1,0.98,-1.27,0.43,0,1,-1.08,-0.19,1.81,,0.46,0.03,-1.01,-3.97748,0,1,1,-2.24,0,0,2.21,0,1.95
86.0,0,1,2.8710000000000004,0.0,178,0,inst_2,1.26,0.39,1.56,-0.01,0,1,-0.34,-0.92,-1.36,1.0,0.0,0.9,0.42,0.2058199999999999,0,1,0,0.77,0,1,0.13,1,0.69
79.0,0,2,3.2060000000000004,0.0,120,0,inst_4,0.16,-0.04,-0.59,-1.3,1,1,0.2,-0.14,-0.94,1.0,0.78,0.16,0.29,-0.0702600000000001,0,0,1,-2.48,1,0,-0.92,1,-0.7
99.0,0,1,2.146,1.0,182,0,inst_4,0.95,-1.11,-1.22,0.41,1,1,0.54,0.19,1.34,0.0,1.24,-0.75,1.9,3.0774,1,1,1,0.29,1,1,0.18,0,-0.39
88.0,0,1,3.378,0.0,130,0,inst_4,0.8,1.9,-0.22,0.42,0,1,-0.42,1.35,-1.28,,1.07,0.03,1.19,3.01982,0,0,1,0.77,0,1,-1.75,0,-1.26
93.0,0,2,3.031,0.0,68,0,inst_8,-0.49,2.19,-0.12,0.36,0,1,-1.74,-0.77,-0.33,,-1.29,1.23,-0.8,-3.4248000000000003,1,0,0,1.56,1,1,1.23,0,-0.81
93.0,0,2,3.031,0.0,68,0,inst_8,-0.49,2.19,-0.12,0.36,0,1,-1.74,-0.77,-0.33,,-1.29,1.23,-0.8,-3.4248000000000003,1,0,0,1.56,1,1,1.23,0,-0.81
96.0,0,0,3.829,,19,0,inst_3,-1.94,-0.4,2.4,0.49,0,1,0.15,-0.47,0.16,,-0.26,2.47,-1.32,-6.05428,0,0,0,-0.79,0,0,0.24,1,0.66
79.0,0,2,3.2060000000000004,0.0,120,0,inst_4,0.16,-0.04,-0.59,-1.3,1,1,0.2,-0.14,-0.94,1.0,0.78,0.16,0.29,-0.0702600000000001,0,0,1,-2.48,1,0,-0.92,1,-0.7
117.0,0,2,3.4160000000000004,0.0,89,0,inst_7,0.81,-2.27,-0.11,-1.58,0,0,-1.33,-0.66,1.52,0.0,0.39,-1.48,1.0,2.416,0,1,1,0.22,0,0,0.43,1,0.37
96.0,0,2,3.062,1.0,61,0,inst_7,1.92,-0.71,-0.58,-0.42,1,0,-1.23,-1.65,-0.34,,-1.41,0.36,0.16,-0.5100800000000001,1,0,1,-1.21,0,0,0.16,0,0.25
96.0,0,2,2.675,1.0,385,0,inst_3,-1.01,0.39,-0.78,0.52,0,0,0.52,0.05,-1.06,,1.41,-0.04,1.54,3.1194999999999995,1,0,0,0.03,1,0,0.6,0,-0.69
107.0,0,0,3.519,,54,0,inst_4,-1.65,-0.7,0.5,-0.46,0,0,0.38,-0.67,1.22,,-0.81,0.09,-0.92,-4.2374800000000015,0,0,0,0.63,0,0,-0.38,0,-0.31
92.0,0,1,3.669,0.0,259,0,inst_4,-0.94,-0.2,0.38,0.43,0,1,-1.52,-1.8,0.88,0.0,0.03,-2.04,-0.74,-3.71506,1,0,0,-0.59,0,0,0.67,0,-2.21
95.0,0,2,3.42,0.0,32,0,inst_7,0.61,-2.11,-0.44,-1.42,0,0,0.58,-0.78,-0.26,,-0.09,0.39,0.05,-0.8290000000000001,1,1,1,-0.37,0,1,-0.43,0,0.16
122.0,0,0,3.615,0.0,28,0,inst_5,0.71,1.16,1.27,-0.68,0,1,0.54,2.12,-1.44,,0.18,-1.24,-0.23,-1.83145,1,0,0,-0.17,0,0,-0.52,1,-1.49
